price_in_rp,district,city,lat,long,facilities,property_type,ads_id,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,year_built,property_condition,building_orientation,garages,furnishing
2990000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Tempat Jemuran, Jalur Telepon, Taman,  Taman",rumah,hos11360272,4.0,4.0,239.0,272.0,0.0,shm - sertifikat hak milik,4400.0,0.0,1.0,2.0,2017.0,bagus,,0.0,unfurnished
1270000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,Taman,rumah,hos10680347,3.0,2.0,55.0,69.0,1.0,hgb - hak guna bangunan,2200.0,0.0,0.0,2.0,,bagus,,0.0,
1950000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751," Jogging Track,  Kolam Renang, Masjid,  Taman, Jalur Telepon,  Keamanan",rumah,hos10685867,3.0,3.0,119.0,131.0,1.0,hgb - hak guna bangunan,2200.0,1.0,1.0,2.0,,bagus,,1.0,unfurnished
3300000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751," Jalur Telepon,  Jogging Track, Track Lari,  Kolam Renang, Kolam Renang,  Taman, Taman, CCTV, Jalur Telepon,  Keamanan",rumah,hos10927790,3.0,3.0,180.0,174.0,0.0,shm - sertifikat hak milik,3500.0,1.0,1.0,2.0,2016.0,bagus sekali,utara,2.0,unfurnished
4500000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751," Jogging Track,  Kolam Renang, Taman, Jalur Telepon,  Keamanan",rumah,hos10785530,4.0,3.0,328.0,196.0,2.0,shm - sertifikat hak milik,3500.0,1.0,1.0,2.0,2013.0,bagus,utara,1.0,unfurnished
2700000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Jalur Telepon, Taman,  Keamanan,  Kolam Renang",rumah,hos11177142,3.0,3.0,136.0,200.0,2.0,shm - sertifikat hak milik,3500.0,1.0,1.0,2.0,2013.0,bagus,selatan,1.0,semi furnished
2350000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Keamanan, Kolam Renang",rumah,hos10720117,2.0,2.0,144.0,144.0,1.0,hgb - hak guna bangunan,4400.0,0.0,0.0,2.0,,,utara,1.0,
4500000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Keamanan, Kolam Renang",rumah,hos10753439,4.0,4.0,216.0,250.0,2.0,hgb - hak guna bangunan,3500.0,1.0,1.0,2.0,,,selatan,1.0,
2900000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,Kitchen Set,rumah,hos11127849,,3.0,200.0,152.0,2.0,shm - sertifikat hak milik,4400.0,3.0,1.0,2.0,,,selatan,0.0,semi furnished
2700000000.0,Summarecon Bekasi, Bekasi,-6.223945,106.9862751,"Keamanan 24 jam, Kolam Renang",rumah,hos11169103,3.0,3.0,136.0,200.0,1.0,shm - sertifikat hak milik,3500.0,1.0,1.0,2.0,,,selatan,1.0,semi furnished
